铁路客运量,
12724,201001
14220,201002
14090,201003
13269,201004
13784,201005
13364,201006
16001,201007
16200,201008
13819,201009
15284,201010
12346,201011
12189,201012
15195,201101
15722,201102
14112,201103
15545,201104
15309,201105
15076,201106
18160,201107
17862,201108
16138,201109
16256,201110
13413,201111
13146,201112
16468,201201
15573,201202
14457,201203
16452,201204
14877,201205
16226,201206
17984,201207
18517,201208
16914,201209
15086,201210
14185,201211
14815,201212
18757,201301
14044,201302
16854,201303
17502,201304
16232,201305
18043,201306
19931,201307
20287,201308
19197,201309
16407,201310
15557,201311
17375,201312
19050,201401
15975,201402
18054,201403
19843,201404
19037,201405
19456,201406
22386,201407
23515,201408
20986,201409
17919,201410
17056,201411
22427,201412
17850,201501
19290,201502
21554,201503
21091,201504
21219,201505
20614,201506
24776,201507
25539,201508
21802,201509
22686,201510
18816,201511
18200,201512
21161,201601
24112,201602
21242,201603
23900,201604
22886,201605
23200,201606
26818,201607
28007,201608
23918,201609
25001,201610
20409,201611
20768,201612
24756,201701
25525,201702
22624,201703
26504,201704
26397,201705
24077,201706
29378,201707
30692,201708
24884,201709
27621,201710
22703,201711
23219,201712
24564,201801
26081,201802
27612,201803
28900,201804
26827,201805
27834,201806
32276,201807
34340,201808
28253,201809
30467,201810
25177,201811
25164,201812
28342,201901
29112,201902
27860,201903
30536,201904
30801,201905
30735,201906
35570,201907
37884,201908
29873,201909
31903,201910
27080,201911
26306,201912
